Index,Time,RON_Loss,S,RON,Liu,BaoHeTing,S-ZORB.TE_5002.DACA,S-ZORB.PT_7107B.DACA,S-ZORB.FT_5201.PV,S-ZORB.SIS_TE_2802,S-ZORB.FC_5001.DACA,XiTing,S-ZORB.TE_3112.DACA,S-ZORB.TE_2608.DACA,S-ZORB.CAL.SPEED.PV,S-ZORB.TC_3102.DACA,S-ZORB.TE_5201.DACA,MiDu,S-ZORB.FT_1003.PV,S-ZORB.FT_9002.DACA,S-ZORB.LC_2601.DACA,FangTing,S-ZORB.PT_1501.PV,S-ZORB.PC_2401B.DACA,S-ZORB.PC_6001.PV,Xiu,S-ZORB.FC_1203.PV,S-ZORB.FC_5103.DACA,S-ZORB.PDC_2702.DACA,S-ZORB.TE_5006.DACA,S-ZORB.PT_7503B.DACA,S-ZORB.TE_1106.DACA.PV,S-ZORB.TXE_3201A.DACA
10.0000000000,9.0000000000,0.8504862429,4.9984633321,90.2000000000,85.0000000000,52.0000000000,144.0553847490,2.5788071677,103.4476019597,330.9303967281,2040.4766524822,28.3000000000,113.1526000292,124.3682231195,6.2420310044,248.0488507675,43.7012616489,725.1000000000,65.6090714656,545.3126267837,79.2575685245,19.7000000000,1.5639545088,1.3854928270,-0.1794568990,61.3200000000,11.5527936039,19341.1066932374,24.8059182082,117.9605610738,0.9557309315,185.7874911654,430.5107245347
11.0000000000,5.0000000000,0.8693226603,5.1664244160,90.2000000000,117.0000000000,53.0000000000,137.4876211585,2.6741130864,28.5074109064,345.4038749995,676.1112930439,28.1222222222,69.1913359251,486.6692470546,3.0207949454,181.5420505259,51.7129452737,723.5222222222,56.6894214614,613.6855181695,84.8902807679,18.8777777778,0.5470036826,1.8838242075,-0.0131377800,61.2555555556,14.3456048401,9688.1830607564,35.0388934177,105.6437149485,0.9710379511,18.3351223721,308.2101225374
12.0000000000,0.0000000000,0.9650385524,4.7872396587,89.2000000000,103.0000000000,55.5000000000,150.0000000000,3.1471008500,56.2074465706,350.0000000000,3656.1510576813,27.6777777778,65.0000000000,352.9620809371,4.0592285690,150.0000000000,78.3954203409,719.5777777778,50.0476785000,559.1362921951,40.0000000000,16.8222222222,1.8188346500,1.3235930955,0.0000000000,61.0944444444,9.9190735912,19371.5579699231,19.6866442503,108.9110498529,0.0061781475,156.0965962424,509.0422945229
13.0000000000,1.0000000000,0.9534282899,4.5300041253,86.8000000000,83.0000000000,56.5000000000,150.0000000000,3.1507432000,35.5872311749,350.0000000000,3687.9630310823,27.5000000000,65.0000000000,375.5656014785,5.4445665996,184.1874032114,94.9831547051,718.0000000000,54.0139530000,553.4915306263,40.0000000000,16.0000000000,1.5964786000,1.3226534436,-0.2000000000,61.0300000000,6.7198798199,19165.9967300781,38.1485528649,150.0000000000,0.0053011883,156.0965962424,457.7776410957
14.0000000000,0.0000000000,1.1565954292,4.4156627893,87.8000000000,121.0000000000,55.7000000000,113.0459889491,3.1473635000,52.8000880221,350.0000000000,3315.4269167484,27.2000000000,65.0000000000,442.9847456518,4.1331697720,278.1074544799,68.9901842478,715.1000000000,53.5690025000,300.0000000000,82.7196550108,17.1000000000,1.8176357000,1.5784638729,-0.0870180580,61.0000000000,14.2167148754,14329.0678078670,18.9415785704,100.0000000000,0.0048033516,156.0965962424,365.5560525827
15.0000000000,0.0000000000,1.0256096408,4.4938759052,88.4000000000,115.0000000000,56.5571428571,150.0000000000,3.1504762500,74.3331418506,350.0000000000,2128.7494603685,26.2857142857,65.0000000000,461.1330719755,3.4009894403,150.0000000000,30.0000000000,716.3000000000,66.0832520000,459.8515005302,56.5843842358,17.1571428571,1.7965463500,1.6275631634,-0.0349676816,61.0114285714,12.4039328335,11831.4809707776,25.9860518426,150.0000000000,0.0050993940,156.0965962424,317.1146354417
16.0000000000,110.0000000000,0.9701263905,4.7407256873,87.2000000000,77.0000000000,57.2000000000,134.9440223048,1.8685455437,81.3292074233,342.5535251012,3470.7115213137,25.6000000000,97.6720536834,143.8346020397,5.5265096666,195.5009985582,82.3462799372,717.2000000000,65.9405021056,492.7614556854,59.5182410435,17.2000000000,1.8990696380,0.7040813851,-0.1113154032,61.0200000000,13.1428272866,22865.2351255585,28.3714525805,115.0406458700,0.2991506229,177.5353649037,305.2396960169
17.0000000000,0.0000000000,1.0104483246,4.3982928479,88.0000000000,108.0000000000,56.3428571429,150.0000000000,3.1481581000,53.1204128799,250.0000000000,2191.1834665352,23.8285714286,120.9029714198,498.0201678742,4.2718977413,150.0000000000,85.3600047383,719.6000000000,52.5044255000,585.2601571939,49.6646428085,19.8285714286,1.8010848000,1.4347548501,-0.1986044928,61.1914285714,5.2052699933,10702.6264282719,26.4947659921,112.7547420334,0.0056358130,156.0965962424,300.0000000000
18.0000000000,110.0000000000,0.9143526307,4.8163151886,88.2000000000,98.1700000000,55.9142857143,143.0566792113,2.7967033274,146.1185637403,348.8022498369,2794.1144236663,22.9428571429,144.4420668474,285.0506718858,3.6564506171,247.8095613114,31.6190568190,720.8000000000,25.5777313581,471.8154988170,45.6141982000,21.1428571429,0.0597564845,1.0417488256,-0.0341408204,61.2771428571,6.9323443811,17139.3184362141,22.0115944382,146.3751089735,1.7383084312,170.4982252092,328.9238255214
19.0000000000,110.0000000000,0.9200994861,4.5016058139,88.8000000000,117.0000000000,55.7000000000,138.6025166252,0.3494872982,130.4646510418,267.2041821051,768.8751648468,22.5000000000,113.9640440718,422.5733100889,3.1642105246,273.4664297989,65.7357976418,721.4000000000,57.5127577463,563.3678293055,86.0278247378,21.8000000000,1.5278329170,0.5743972252,-0.1729638651,61.3200000000,11.7408546524,13357.1276312081,12.0653356219,112.6054327894,1.3503111236,36.4662181721,443.1391296351
20.0000000000,0.0000000000,0.9846906440,4.0674319355,88.1000000000,111.0000000000,56.4142857143,150.0000000000,3.1471241000,48.7645881201,350.0000000000,2041.6208893455,23.1428571429,96.7931585979,217.4532795655,5.6498923861,300.0000000000,53.6447749405,722.2571428571,52.4227695000,381.1012616960,40.0000000000,20.4428571429,1.5490745500,1.5794088985,-0.1536159377,62.0985714286,6.9414708338,10873.9370456413,34.5570680468,150.0000000000,0.0065505930,156.0965962424,399.6577144148
21.0000000000,110.0000000000,0.9305678807,4.7610925741,88.2000000000,57.0000000000,56.7000000000,132.5323359390,2.3755106461,58.6271117320,341.1208630368,3063.1934731988,23.4000000000,139.6993088412,274.5650742630,5.7479797884,210.3403776967,64.0339797743,722.6000000000,7.6920840786,573.4577253709,55.0907625015,19.9000000000,2.4157589176,1.5164323830,-0.1365004209,62.4100000000,8.7804834199,24613.6307080228,35.7950282191,102.6334719743,0.4551862705,20.2602925770,426.9382409955
22.0000000000,0.0000000000,1.1260847087,4.5044318737,89.6000000000,148.0000000000,56.5857142857,100.0000000000,3.1479533000,101.9500972659,350.0000000000,2354.5139982104,21.5142857143,135.9128825448,243.0609892760,2.9500000000,150.0000000000,36.3495098943,722.6000000000,51.2702330000,457.4697896240,92.0552643518,21.9000000000,1.6621159500,1.2504827846,-0.1021605508,62.4100000000,11.0588755083,13074.2809992072,21.8861297119,100.0000000000,0.0057033191,156.0965962424,550.0000000000
23.0000000000,0.0000000000,0.9782819325,4.4788408306,89.0000000000,131.0000000000,56.5000000000,150.0000000000,3.1481013500,84.2079822742,350.0000000000,2187.1726958676,20.1000000000,82.5665617689,266.2627111529,4.8804684081,292.7934148442,49.2919067605,722.6000000000,36.7304305000,650.0000000000,100.0000000000,23.4000000000,1.8464015500,1.3565275053,-0.0621950997,62.4100000000,8.8516799657,12933.9694228334,33.9668213109,100.0000000000,0.0053516408,156.0965962424,410.4686197488
24.0000000000,2.0000000000,0.9358632171,5.1406921418,89.3000000000,222.0000000000,55.1285714286,150.0000000000,3.1498261000,77.1916291214,350.0000000000,1534.2548565725,22.5571428571,144.2916257652,336.0760672755,2.9500000000,300.0000000000,48.8722321938,723.7428571429,34.7780510000,650.0000000000,100.0000000000,22.3142857143,1.6179335000,1.3521836764,-0.0042784030,63.6557142857,11.1502570402,16966.8718258965,35.4346380786,100.0000000000,0.0040733378,156.0965962424,336.2364695428
25.0000000000,0.0000000000,1.0472585658,4.3246468810,89.2000000000,125.0000000000,54.1000000000,150.0000000000,3.1533930000,95.7951465610,250.0000000000,2328.4176416105,24.4000000000,65.0000000000,285.0833520435,2.9500000000,150.0000000000,49.2710992572,724.6000000000,34.7657280000,612.5377633240,77.7282495455,21.5000000000,1.7722911000,1.3172186086,-0.0054206502,64.5900000000,15.0000000000,12907.4511554147,21.9776672959,100.0000000000,0.0042217085,156.0965962424,505.0169202111
26.0000000000,1.0000000000,0.9310981649,4.8373618773,88.7000000000,156.0000000000,55.1857142857,150.0000000000,3.1463496000,95.4529646258,350.0000000000,2244.1838732397,21.0857142857,150.0000000000,194.7653055749,2.9500000000,185.0400491778,42.7439331823,724.6000000000,35.8711655000,650.0000000000,40.0000000000,23.7285714286,1.6901622000,1.3333747891,-0.2000000000,64.5900000000,15.0000000000,14885.2861946867,35.6442762207,150.0000000000,0.0039375623,156.0965962424,300.0000000000
27.0000000000,110.0000000000,0.9323290319,4.9136619758,89.0000000000,170.0000000000,56.0000000000,134.3077514497,3.3572454174,140.8324120274,322.0789279589,2505.2030224567,18.6000000000,149.2002658289,311.1079084319,4.5859430601,192.8946565008,33.7187872173,724.6000000000,34.8766500934,302.4377708764,91.6576160546,25.4000000000,0.5449714115,2.3172914370,-0.0286489642,64.5900000000,8.3891710339,18372.3643854807,39.8117233953,125.7774044870,0.6720137933,100.3859229200,511.3839468890
28.0000000000,0.0000000000,0.9513334475,4.9258821031,89.7000000000,206.0000000000,55.8095238095,147.3225628469,3.1445969000,84.1510104357,350.0000000000,2240.5865180549,19.5142857143,100.2866488055,243.1462712920,2.9500000000,150.0000000000,70.1057922409,724.6761904762,36.2442430000,645.1558422238,40.0000000000,24.6761904762,1.7837418500,1.2478045083,-0.2000000000,65.2147619048,7.2125024167,13426.5018432402,28.0917124624,150.0000000000,0.0035687902,156.0965962424,300.0000000000
29.0000000000,110.0000000000,0.9677550381,4.4213622953,89.2000000000,185.0000000000,55.6666666667,120.1406224879,0.0950523192,152.6293485947,323.2013415877,726.2930522217,20.2000000000,114.7340741820,210.5773003571,5.3364280839,236.0067414009,77.3460693732,724.7333333333,57.0289971434,398.7264463994,57.1062421804,24.1333333333,2.0929547846,2.1980971671,-0.1833017066,65.6833333333,5.9786819973,24544.5648106703,37.1851770058,116.7793461206,0.1511484734,174.8754444615,476.5868683955
30.0000000000,0.0000000000,1.0323743810,4.5365587088,89.1000000000,172.0000000000,55.4761904762,100.0000000000,3.1485174500,99.4944501194,350.0000000000,1599.5878658225,21.1142857143,135.2474479133,324.8259528675,4.6428143171,150.0000000000,59.5700949035,724.8095238095,36.8093550000,602.3216492050,40.0000000000,23.4095238095,1.8066440500,1.4365417783,-0.0740838527,66.3080952381,6.0486393077,14718.8966046629,28.0416240016,100.0000000000,0.0055549274,156.0965962424,550.0000000000
31.0000000000,2.0000000000,0.9744985551,3.8946789027,88.5000000000,133.0000000000,55.3333333333,150.0000000000,3.1492209500,72.5801165709,250.0000000000,2789.9474828029,21.8000000000,73.1504894869,190.7331771831,2.9500000000,258.0927660836,38.3663832568,724.8666666667,34.9142130000,650.0000000000,54.2876130851,22.8666666667,1.9131079000,1.2369700078,-0.2000000000,66.7766666667,10.8039512583,15855.9434875277,17.0363488094,100.0000000000,0.0046356916,156.0965962424,495.1106176195
32.0000000000,110.0000000000,0.8532351431,5.1198942587,88.4000000000,189.0000000000,55.1428571429,145.4819012605,3.2463723744,68.9647928868,342.3459901818,1293.5074691161,22.7142857143,146.6104347058,143.1142429882,6.0120756455,294.4064108516,67.6889769501,724.9428571429,10.0673968898,536.0825958473,65.5998468198,22.1428571429,2.2625031367,1.8698702159,-0.1845341180,67.4014285714,5.6225291529,13651.6908318537,14.4055645484,104.6644478217,1.0475328735,20.2186266278,303.0124777170
33.0000000000,110.0000000000,0.8805451349,4.2604471679,88.1000000000,144.0000000000,55.0000000000,141.4840778086,0.5784215382,109.4826245549,327.7973869387,1775.2539722997,23.4000000000,65.1622289701,417.2372333428,3.5999826507,245.3593196802,76.2325604328,725.0000000000,33.8614865616,612.4293406096,58.0082972553,21.6000000000,2.2086484575,0.6500929024,-0.0618874726,67.8700000000,5.1837464681,21133.9149517702,11.4890890081,143.1500163427,0.3181968097,152.7047326363,406.9439331842
34.0000000000,110.0000000000,0.9082287628,5.3228326887,88.7000000000,210.0000000000,54.5142857143,122.7639557704,1.0689784204,55.0480906062,345.1824639943,958.5233678483,24.0285714286,124.0809713835,276.0513597562,4.8214253255,258.0203687246,91.5173751079,724.7714285714,44.8212151204,632.2249979028,92.8212961016,21.4571428571,2.3445109740,1.7412538239,-0.1701231728,66.6185714286,12.0585260508,24118.5101997347,11.3137975073,145.9790034678,0.8578961211,34.6540148212,538.9004852884
35.0000000000,0.0000000000,0.9146754164,4.2767699230,87.5000000000,137.0000000000,54.1500000000,150.0000000000,3.1488825500,100.8708238489,350.0000000000,1827.6127734116,24.5000000000,65.0000000000,283.3282655489,6.3286412526,290.1233957292,38.0050694267,724.6000000000,49.8600620000,612.4563866918,66.2460974264,21.3500000000,1.8838970500,1.3997427886,-0.2000000000,65.6800000000,15.0000000000,13218.1525807790,24.5546867974,150.0000000000,0.0058479966,156.0965962424,322.6068255696
36.0000000000,9.0000000000,0.8561661258,4.7745387467,89.4000000000,168.0000000000,53.6642857143,143.8702065544,0.4189179515,107.5045449577,323.6018014705,2093.2465351853,25.1285714286,134.0327743452,125.2913278644,3.6720064400,159.7783214325,50.8386273016,724.3714285714,63.2035434167,542.5956376717,79.3112364121,21.2071428571,1.4376942600,0.2972425559,-0.1312565939,64.4285714286,5.5032521697,18421.9756772180,25.5491448088,149.6110319792,1.0987974028,154.4719103651,505.4614589715
37.0000000000,0.0000000000,0.9039045230,4.6321742109,89.1000000000,154.0000000000,53.3000000000,150.0000000000,3.1504961500,110.4126009614,307.8115757929,1448.1719384484,25.6000000000,73.5502126273,249.5974946535,2.9500000000,191.9140059443,79.5563545590,724.2000000000,50.5869335000,620.0380092845,89.6963003845,21.1000000000,2.0113668500,0.7015904457,-0.2000000000,63.4900000000,12.8563016207,11817.2812981767,29.3859218800,100.0000000000,0.0059785694,156.0965962424,481.4773621277
38.0000000000,18.0000000000,0.8561985221,4.9670705189,89.5000000000,230.0000000000,53.6000000000,135.5891964956,1.9311822116,144.8861580746,309.1791228167,1485.6576029319,26.0000000000,115.5479618295,430.0221759824,4.8104019174,165.8565638721,30.0646579728,724.2000000000,16.6346086047,549.8445189271,43.2385992299,20.4000000000,1.8722110237,0.1672059910,-0.1662491845,63.4900000000,5.5356918976,6119.7307099225,25.1891210969,139.7626256289,1.3205649986,163.1508748969,310.8803329569
39.0000000000,0.0000000000,0.8672102599,5.1115038671,89.7000000000,236.0000000000,51.3142857143,148.7832121274,3.1989435000,77.2433962529,350.0000000000,636.3640474445,27.1428571429,65.0000000000,388.8233427506,5.8362605960,300.0000000000,36.9740936378,725.8857142857,48.8226250000,571.9505046044,40.0000000000,21.5428571429,1.7989662500,1.4684428813,-0.1175136510,61.7728571429,11.5704480233,993.8631628929,17.2447474889,100.0000000000,0.0039212336,156.0965962424,494.1246745103
40.0000000000,1.0000000000,0.9128210058,5.0614261653,89.2000000000,236.0000000000,49.6000000000,150.0000000000,3.1941391500,97.7572406716,350.0000000000,1657.7003191496,28.0000000000,65.0000000000,237.6523519014,2.9500000000,160.7267709792,72.5001389767,727.1500000000,47.8385540000,604.7058027109,96.5044257926,22.4000000000,1.8378149000,1.5536366637,-0.2000000000,60.4850000000,10.4554529955,3696.9334983453,26.9970122065,150.0000000000,0.0066945423,156.0965962424,300.0000000000
41.0000000000,110.0000000000,0.8556173035,5.4553849956,89.8000000000,204.0000000000,50.3428571429,139.8433697820,1.2111415851,81.8875100516,335.5653718145,565.7139268963,29.1428571429,92.1633309115,238.9995445850,4.8060870802,250.4857769877,41.5313336337,728.8357142857,38.2848921624,561.6733536064,43.0442862446,20.5142857143,0.3289411218,2.3294796641,-0.0385099935,58.7678571429,8.7034501416,17700.5150177443,26.2343912844,135.9405871791,1.1611381554,78.8725275982,546.0301564670
42.0000000000,0.0000000000,0.9024861984,5.3865722450,89.6000000000,172.0000000000,50.9000000000,150.0000000000,3.1435719000,96.0696821533,350.0000000000,1320.2399778584,30.0000000000,65.0000000000,434.4050393314,6.5751058151,189.2308125901,87.9982292126,730.1000000000,48.6038545000,650.0000000000,100.0000000000,19.1000000000,1.9630378500,0.8428096794,-0.2000000000,57.4800000000,14.4129710100,5351.3675853976,36.8976701163,150.0000000000,0.0027133841,156.0965962424,300.0000000000
43.0000000000,1.0000000000,0.9133020286,5.2915185791,89.5000000000,179.0000000000,52.3285714286,100.0000000000,3.1423510000,107.4390762756,350.0000000000,1022.4970282500,29.0857142857,66.2995271032,377.6058860083,3.1021737174,265.0822289866,30.0000000000,729.5285714286,48.7292370000,650.0000000000,65.4080700561,18.5857142857,1.8622023000,1.3533980530,-0.2000000000,58.4228571429,13.8311710838,6642.2750859301,25.4411431437,100.0000000000,0.0036066433,156.0965962424,300.0000000000
44.0000000000,110.0000000000,0.9625424473,5.1941238858,89.7000000000,275.0000000000,53.4000000000,147.0346366041,2.8227900272,91.8303141832,270.0656588204,1145.7300485071,28.4000000000,80.6035835985,397.2593397578,3.2716236993,251.8979257764,37.3313358116,729.1000000000,8.2848169154,363.6500501393,84.3989170605,18.2000000000,0.9965977657,2.1476980692,-0.1820785251,59.1300000000,10.8369368056,15511.4428806001,16.2404085365,117.4938049330,0.6069929900,169.1739432957,493.3538756795
45.0000000000,110.0000000000,0.8331640704,5.3574968878,89.5000000000,216.0000000000,53.3428571429,147.7180439475,0.0689710019,136.5683883157,332.8595939562,1672.4883441728,27.8857142857,73.2149760166,427.1993092988,5.7612397532,281.9193645699,88.9571111205,729.1000000000,13.2947644003,596.0427471924,76.5994913235,18.7714285714,0.4928620979,0.7636299614,-0.0496704162,59.1300000000,12.6370293929,24754.0698792180,33.4141922130,111.4286148731,0.2996394432,88.0044387145,420.6983005320
46.0000000000,36.0000000000,0.9048833901,5.7272280958,89.6000000000,286.0000000000,53.3000000000,148.7083697553,0.6034690695,90.3265302804,346.3543033852,961.0390940683,27.5000000000,91.8007796493,134.8825052546,4.6051255985,199.3574317085,46.5881321361,729.1000000000,10.1123785283,437.2742413841,93.3843826817,19.2000000000,0.0573286086,1.9222784177,-0.0036845881,59.1300000000,14.0569605331,24330.7566652014,11.1020170513,134.9234861754,0.0886890860,1.4882531763,362.3974680945
47.0000000000,110.0000000000,0.9398743537,4.2718338480,90.0000000000,209.0000000000,54.1571428571,117.6442508230,0.2936637683,151.4286366031,297.5481234724,3126.2584358871,25.9571428571,75.5443381123,343.1157811905,6.3356479888,222.3268122412,66.7994519075,729.1000000000,56.1409378240,563.2921842199,66.0661050579,19.8857142857,0.1318069220,0.9449300772,-0.1879785857,59.1300000000,6.5213427643,23791.4253012622,39.7903562537,109.8388453379,2.0457187702,66.8155225112,412.3223941515
48.0000000000,110.0000000000,0.9441818435,4.5847185321,90.2000000000,264.0000000000,54.8000000000,134.1226264722,1.7510578221,103.1755388137,323.4882357051,2920.6883669716,24.8000000000,65.4118214204,162.2046202325,5.3802544157,298.8334280075,41.9873584769,729.1000000000,19.4312027492,465.2571863357,81.9092668640,20.4000000000,2.4340274172,1.1004927920,-0.1458731608,59.1300000000,11.2625066324,22724.1359818656,29.7182112881,121.0034692068,2.0004267210,36.1072413654,504.8193759673
49.0000000000,110.0000000000,0.9252609373,4.6145647865,89.6000000000,132.0000000000,57.4428571429,145.4695241469,2.0723658991,133.5139869209,321.8223772896,1618.1940423082,22.2857142857,111.4854747479,279.9933112883,3.0412572095,231.9376067279,54.6606822777,727.3285714286,7.9369166095,566.5358261222,83.9339680066,20.2714285714,0.3126200845,1.4441075190,-0.1231986656,57.8785714286,5.3705682047,8117.5564038126,28.9868679646,136.8344268791,0.2876666857,172.7897403147,539.9214100555
50.0000000000,110.0000000000,0.8727948517,4.8596540074,89.6000000000,221.0000000000,59.5000000000,136.0916434535,3.3055689055,121.2673633689,339.3841193249,762.8676147667,20.4000000000,92.5449538040,159.3679449330,4.0421171069,202.1659352151,31.6532110577,726.0000000000,58.9248934246,573.2537194273,93.5739124929,20.1000000000,0.1095021846,2.0773983830,-0.0112040377,56.9400000000,5.6980413521,14758.2148914846,27.2311057775,132.7789456470,0.8019406329,167.8464119457,497.5092352955
51.0000000000,1.0000000000,0.9254961826,4.3295498743,90.1000000000,126.0000000000,58.5285714286,150.0000000000,3.1377137500,117.7393955459,341.3137515449,1088.4358031668,20.1714285714,65.0000000000,139.3197662456,4.2218538309,150.0000000000,44.8840276505,726.0000000000,47.4615120000,650.0000000000,50.6887954272,21.3000000000,2.0244009000,1.6299909070,0.0000000000,56.9400000000,14.9718811981,6484.0051524797,26.0869544882,100.0000000000,0.0047261984,156.0965962424,550.0000000000
52.0000000000,110.0000000000,0.9011071870,4.6801465696,90.2000000000,199.0000000000,57.8000000000,113.3150880626,2.3851659110,47.8978192133,326.6636391228,950.7514365342,20.0000000000,138.1429686608,172.9837390242,5.9588258250,235.4760864629,39.9611836028,726.0000000000,36.6479293165,623.4236356735,54.2192549827,22.2000000000,0.4868927631,1.1183394092,-0.1805901254,56.9400000000,13.0371232845,18371.3105901472,26.9020431747,129.3799724365,1.6506460629,197.8500270216,484.9276120638
53.0000000000,110.0000000000,0.9639843484,4.1623679069,90.1000000000,144.0000000000,58.6000000000,135.9736679186,1.7931727038,79.0362106827,298.1527370324,3488.3972254855,19.3142857143,92.8215092027,282.8836931418,4.0649612098,151.0634187589,64.2295788039,725.7142857143,62.3286697957,608.4989440257,41.8227656389,22.0857142857,1.1610753813,0.2797161431,-0.1230847758,57.5571428571,10.5331258149,19811.1671715667,11.9215718132,115.9964447460,2.1596984068,133.5980735475,426.9150292570
