RON,Liu,BaoHeTing,S-ZORB.TE_5002.DACA,S-ZORB.PT_7107B.DACA,S-ZORB.FT_5201.PV,S-ZORB.SIS_TE_2802,S-ZORB.FC_5001.DACA,XiTing,S-ZORB.TE_3112.DACA,S-ZORB.TE_2608.DACA,S-ZORB.CAL.SPEED.PV,S-ZORB.TC_3102.DACA,S-ZORB.TE_5201.DACA,MiDu,S-ZORB.FT_1003.PV,S-ZORB.FT_9002.DACA,S-ZORB.LC_2601.DACA,FangTing,S-ZORB.PT_1501.PV,S-ZORB.PC_2401B.DACA,S-ZORB.PC_6001.PV,Xiu,S-ZORB.FC_1203.PV,S-ZORB.FC_5103.DACA,S-ZORB.PDC_2702.DACA,S-ZORB.TE_5006.DACA,S-ZORB.PT_7503B.DACA,S-ZORB.TE_1106.DACA.PV,S-ZORB.TXE_3201A.DACA
88.4000000000,115.0000000000,56.5571428571,114.0218200000,3.1504762500,69.7317430000,265.6135700000,2539.6368000000,26.2857142857,74.8486935000,483.3941850000,3.1953927000,181.8626500000,58.7096810000,716.3000000000,66.0832520000,418.5019600000,66.1181380000,17.1571428571,1.7965463500,1.6353118090,-0.1512810350,61.0114285714,9.7569524000,11707.3125000000,24.0642220000,134.9621100000,0.0050993940,156.0965962424,393.3414900000
87.2000000000,77.0000000000,57.2000000000,113.0383550000,3.1472677500,54.5498680000,267.1596550000,2793.1915000000,25.6000000000,75.1491905000,465.4468600000,3.2044489500,185.4089450000,57.4396695000,717.2000000000,53.4830970000,385.4993800000,66.5396225000,17.2000000000,1.8652001000,1.5506383750,-0.1512789000,61.0200000000,9.6593730000,14668.1855000000,25.0965070000,134.9105800000,0.0047966818,156.0965962424,390.4843350000
88.0000000000,108.0000000000,56.3428571429,111.8146600000,3.1481581000,52.9487545000,254.0415150000,2632.1026500000,23.8285714286,72.5837345000,419.1686150000,3.2623780000,174.4232200000,57.0112090000,719.6000000000,52.5044255000,431.7535250000,66.2469755000,19.8285714286,1.8010848000,1.4613980035,-0.1499588500,61.1914285714,9.9279250500,10719.4750000000,23.0191360000,134.9980200000,0.0056358130,156.0965962424,411.4435000000
88.2000000000,98.1700000000,55.9142857143,114.0870000000,3.1469150500,55.2228370000,264.0232100000,2453.7623000000,22.9428571429,74.3828300000,368.4347550000,3.4141921000,192.1607850000,56.9193515000,720.8000000000,53.7498475000,429.5255650000,68.3014400000,21.1428571429,1.8020790000,1.6125662250,-0.1393823050,61.2771428571,9.4262425500,11111.4410000000,25.2353505000,135.1425400000,0.0055393665,156.0965962424,406.7429650000
88.8000000000,117.0000000000,55.7000000000,115.0744950000,3.1466444500,56.5834095000,271.7475600000,2399.0571000000,22.5000000000,77.6903050000,349.3220450000,3.5753975500,217.2124450000,57.0430340000,721.4000000000,54.7749705000,447.3226200000,68.9160595000,21.8000000000,1.8099363500,1.4618276700,-0.1487943500,61.3200000000,9.8637145500,10659.4535000000,25.1810105000,134.8021200000,0.0052232970,156.0965962424,398.8023300000
88.1000000000,111.0000000000,56.4142857143,113.4505000000,3.1471241000,55.6417465000,266.3888850000,2534.3664000000,23.1428571429,76.7438600000,278.9311850000,3.5686811000,198.3794450000,48.5383000000,722.2571428571,52.4227695000,432.9097200000,69.1770525000,20.4428571429,1.5490745500,1.5469732510,-0.1400761875,62.0985714286,9.5478035500,10761.1265000000,27.9483130000,135.0544950000,0.0065505930,156.0965962424,406.3367550000
88.2000000000,57.0000000000,56.7000000000,114.4485150000,3.1464453500,53.1149225000,270.0274750000,2594.7601000000,23.4000000000,72.4371650000,284.2370800000,3.7428083000,188.4043900000,48.8558215000,722.6000000000,50.7193115000,468.0043500000,65.2124640000,19.9000000000,1.6326536000,0.4872653455,-0.1345622700,62.4100000000,9.9550253000,11233.6095000000,27.0231750000,135.4973650000,0.0055616291,156.0965962424,412.2077150000
89.6000000000,148.0000000000,56.5857142857,123.4309700000,3.1479533000,105.9800300000,276.5918800000,1988.7275500000,21.5142857143,78.1093995000,297.9395150000,3.7496047000,201.6908250000,59.3492855000,722.6000000000,51.2702330000,387.0602850000,69.8996985000,21.9000000000,1.6621159500,1.2769007140,-0.1503124150,62.4100000000,11.6759185000,12971.5015000000,29.7264685000,135.7040350000,0.0057033191,156.0965962424,401.4829200000
89.0000000000,131.0000000000,56.5000000000,119.7562050000,3.1481013500,91.7381565000,259.1926200000,2409.9704000000,20.1000000000,75.7263080000,282.8031250000,3.7420388000,194.1100100000,52.2035080000,722.6000000000,36.7304305000,421.0575350000,69.0772575000,23.4000000000,1.8464015500,1.3339085835,-0.1512799550,62.4100000000,11.1419310000,13576.4765000000,29.0965340000,136.1095300000,0.0053516408,156.0965962424,416.1880050000
89.3000000000,222.0000000000,55.1285714286,121.3745150000,3.1498261000,90.3234170000,263.3089200000,2476.1815000000,22.5571428571,75.6955715000,296.8965450000,3.7202879500,209.4696200000,69.9997970000,723.7428571429,34.7780510000,394.9455150000,69.6397660000,22.3142857143,1.6179335000,1.3320948180,-0.1512780150,63.6557142857,11.1692825000,16896.9920000000,29.3779825000,135.8915200000,0.0040733378,156.0965962424,409.9401000000
89.2000000000,125.0000000000,54.1000000000,121.8983750000,3.1533930000,95.0143690000,269.0781450000,2257.9256500000,24.4000000000,76.5737900000,285.2101850000,3.7921500000,207.6912300000,68.2885430000,724.6000000000,34.7657280000,426.8657450000,69.8596970000,21.5000000000,1.7722911000,1.3150774310,-0.1512795400,64.5900000000,11.4799485000,13073.4410000000,29.7789485000,136.0500600000,0.0042217085,156.0965962424,410.4424300000
88.7000000000,156.0000000000,55.1857142857,121.4945850000,3.1463496000,101.9965490000,263.4127000000,2289.4012500000,21.0857142857,74.6609005000,290.2016450000,3.7726468500,202.1545350000,65.5644755000,724.6000000000,35.8711655000,439.1143150000,70.1283685000,23.7285714286,1.6901622000,1.2618113915,-0.1492028400,64.5900000000,10.8085415000,13898.4565000000,28.8395840000,136.2524400000,0.0039375623,156.0965962424,417.2176450000
89.0000000000,170.0000000000,56.0000000000,123.3629800000,3.1436441000,100.4956630000,273.5302250000,2459.5918500000,18.6000000000,79.0480010000,290.2341250000,3.7607646000,226.7047900000,57.4866660000,724.6000000000,34.4935805000,391.5110800000,70.0037595000,25.4000000000,1.8226861500,1.2720520150,-0.1352281210,64.5900000000,11.1135165000,19637.1195000000,27.3100405000,136.2175050000,0.0069920449,156.0965962424,402.8109750000
89.7000000000,206.0000000000,55.8095238095,123.0328450000,3.1445969000,94.1293445000,269.9832100000,2011.8329000000,19.5142857143,77.9024440000,289.2393300000,3.6951378500,233.1320350000,64.1546860000,724.6761904762,36.2442430000,420.2981950000,71.6127235000,24.6761904762,1.7837418500,1.2254194950,-0.1509266250,65.2147619048,10.8882295000,13035.7240000000,27.6395730000,136.2378150000,0.0035687902,156.0965962424,419.7740850000
89.2000000000,185.0000000000,55.6666666667,123.5100350000,3.1520687000,95.6835910000,270.0747800000,2130.5576000000,20.2000000000,79.7542120000,295.0266550000,3.8004425000,230.4763850000,81.0748895000,724.7333333333,38.2515610000,469.1587700000,71.2472625000,24.1333333333,1.7178314000,1.3199794400,-0.1502139600,65.6833333333,11.5398160000,13538.8150000000,29.3761940000,136.0883950000,0.0033299099,156.0965962424,404.2122550000
89.1000000000,172.0000000000,55.4761904762,124.0334250000,3.1485174500,92.2454775000,278.3241750000,1278.6384650000,21.1142857143,79.4374560000,281.7869600000,3.7793602500,236.3394150000,57.1995040000,724.8095238095,36.8093550000,370.1390350000,71.3649715000,23.4095238095,1.8066440500,1.3942774960,-0.1437334815,66.3080952381,11.0324605000,14776.6115000000,27.7950280000,136.1208550000,0.0055549274,156.0965962424,406.2857000000
88.5000000000,133.0000000000,55.3333333333,122.4668000000,3.1492209500,90.9251470000,267.5198300000,2306.8034500000,21.8000000000,78.3914500000,296.8587250000,3.6891496000,234.5590200000,58.0350070000,724.8666666667,34.9142130000,414.7801550000,71.4981850000,22.8666666667,1.9131079000,1.2713650255,-0.1486795700,66.7766666667,11.3347895000,15656.7170000000,26.5846745000,135.9848650000,0.0046356916,156.0965962424,413.7252450000
88.4000000000,189.0000000000,55.1428571429,122.7747550000,3.1521655500,94.1336670000,273.3119600000,2282.5253000000,22.7142857143,79.8575100000,289.6242000000,3.6791684500,238.5933150000,61.6023700000,724.9428571429,38.3277860000,446.5591150000,71.5678975000,22.1428571429,1.8798326000,1.4130486095,-0.1500590350,67.4014285714,11.3675705000,15186.3720000000,24.7886590000,135.8811250000,0.0055542082,156.0965962424,416.6809550000
88.1000000000,144.0000000000,55.0000000000,123.6439100000,3.1491107500,91.1094930000,275.2442000000,2168.1350000000,23.4000000000,80.2304450000,278.7236950000,3.6658500000,246.3530200000,57.8450420000,725.0000000000,40.6080580000,423.9544200000,72.2102440000,21.6000000000,1.8650458000,1.3522911000,-0.1438172650,67.8700000000,11.3340215000,15216.1375000000,24.5395700000,135.9846400000,0.0046416313,156.0965962424,399.2233200000
88.7000000000,210.0000000000,54.5142857143,123.6524450000,3.1520921000,105.0969400000,272.0558650000,2415.5578500000,24.0285714286,79.6201750000,280.6125950000,3.6528802500,245.4592950000,62.5767775000,724.7714285714,48.1670265000,441.8400250000,71.6582690000,21.4571428571,1.9815948000,1.4054201150,-0.1494106700,66.6185714286,11.6313065000,18909.3880000000,23.3981415000,135.8429200000,0.0065513303,156.0965962424,403.5399300000
87.5000000000,137.0000000000,54.1500000000,123.6102900000,3.1488825500,107.5090035000,266.3522650000,2100.6899500000,24.5000000000,78.3615555000,268.0628300000,3.6558131000,242.8415800000,59.8843860000,724.6000000000,49.8600620000,469.3410550000,73.1135265000,21.3500000000,1.8838970500,1.4150370205,-0.1497985100,65.6800000000,11.8249470000,12773.4470000000,25.6249725000,136.2319250000,0.0058479966,156.0965962424,413.7993500000
89.4000000000,168.0000000000,53.6642857143,125.1439100000,3.1528612000,104.2634995000,281.7902900000,1895.2840500000,25.1285714286,81.3163385000,269.0071150000,3.6203722000,252.0389100000,56.4394800000,724.3714285714,49.2975195000,452.7850800000,73.8173500000,21.2071428571,1.9628428000,1.4056848540,-0.1444832585,64.4285714286,11.3172385000,12355.2800000000,25.4449045000,136.1184700000,0.0057871621,156.0965962424,415.7769000000
89.1000000000,154.0000000000,53.3000000000,125.3498800000,3.1504961500,108.1290500000,287.4893150000,1839.5867000000,25.6000000000,79.1129685000,256.8901700000,3.7094154000,238.8495200000,53.8208090000,724.2000000000,50.5869335000,456.2435900000,71.5828630000,21.1000000000,2.0113668500,0.7223376985,-0.1509962750,63.4900000000,11.8800090000,12449.0365000000,28.4271950000,135.6460700000,0.0059785694,156.0965962424,395.8472900000
89.5000000000,230.0000000000,53.6000000000,124.8693200000,3.2031490500,72.4768810000,272.2435800000,1184.5850500000,26.0000000000,80.3746025000,295.2030150000,3.6722315000,246.5013750000,53.3748205000,724.2000000000,49.6283745000,406.2328450000,72.7417790000,20.4000000000,1.7371893500,1.4798717960,-0.1512733150,63.4900000000,11.8419175000,2447.0575000000,24.7371180000,133.0415950000,0.0030791511,156.0965962424,403.6949000000
89.7000000000,236.0000000000,51.3142857143,125.1604650000,3.1989435000,76.1635595000,273.7500050000,1063.2977200000,27.1428571429,80.0462670000,302.4445550000,3.7070782000,244.9528100000,53.5209595000,725.8857142857,48.8226250000,413.5260000000,72.0389760000,21.5428571429,1.7989662500,1.4238513910,-0.1431795765,61.7728571429,11.8986875000,719.7581450000,20.2025050000,131.9633800000,0.0039212336,156.0965962424,411.8611500000
89.2000000000,236.0000000000,49.6000000000,124.8027100000,3.1941391500,104.1942875000,264.8992650000,1790.2396500000,28.0000000000,79.8653420000,273.1899350000,3.7272099000,241.5258350000,56.5432445000,727.1500000000,47.8385540000,357.2960650000,72.4978670000,22.4000000000,1.8378149000,1.5051926600,-0.1415828280,60.4850000000,11.6617280000,3022.2042500000,23.5702965000,139.8053550000,0.0066945423,156.0965962424,405.5064750000
89.8000000000,204.0000000000,50.3428571429,123.8356050000,3.1399561000,103.6029385000,280.2701350000,1664.6204500000,29.1428571429,81.7776210000,285.8361550000,3.7860031500,248.5181750000,59.4001750000,728.8357142857,47.0190900000,429.7653600000,70.3718350000,20.5142857143,1.8315532500,1.3159379410,-0.1490484400,58.7678571429,11.8554905000,8309.1726000000,23.2179105000,134.3146850000,0.0050986360,156.0965962424,390.8511500000
89.6000000000,172.0000000000,50.9000000000,121.4720600000,3.1435719000,97.0565155000,265.9310150000,1510.5941000000,30.0000000000,101.7467000000,398.4829800000,3.8745883000,252.4533400000,76.7658500000,730.1000000000,48.6038545000,432.2151050000,79.5182905000,19.1000000000,1.9630378500,0.8329098120,-0.1512779250,57.4800000000,11.8677370000,4858.7879500000,27.8181920000,133.7920300000,0.0027133841,156.0965962424,406.0481850000
89.5000000000,179.0000000000,52.3285714286,122.1216050000,3.1423510000,100.6440370000,273.1288250000,1321.2013000000,29.0857142857,79.1296000000,423.6667350000,3.7545772500,233.9891150000,58.0143085000,729.5285714286,48.7292370000,533.3976750000,71.1763790000,18.5857142857,1.8622023000,1.3694197875,-0.1512745950,58.4228571429,12.0087050000,6416.3120000000,24.5718835000,130.4575350000,0.0036066433,156.0965962424,406.7561000000
89.7000000000,275.0000000000,53.4000000000,123.2574050000,3.1413449500,99.1591420000,284.5116000000,1650.1163000000,28.4000000000,77.8033620000,169.1212150000,3.8473099000,209.5160700000,46.5409630000,729.1000000000,46.5671545000,517.3719250000,69.2874355000,18.2000000000,1.9122815000,1.6174447000,-0.1471702950,59.1300000000,11.4054320000,7836.9578500000,27.7504035000,134.3464000000,0.0039516628,156.0965962424,426.7911900000
89.5000000000,216.0000000000,53.3428571429,122.1017500000,3.1407307000,95.9174495000,285.5479250000,1707.5983500000,27.8857142857,77.4112610000,174.9063000000,4.0309540500,200.9224650000,54.7027305000,729.1000000000,42.5324860000,533.8999650000,67.8479615000,18.7714285714,1.9480960500,1.6994083865,-0.1370525400,59.1300000000,11.3999415000,7400.2322000000,29.8660705000,134.2555800000,0.0041156262,156.0965962424,419.6729600000
89.6000000000,286.0000000000,53.3000000000,123.7822500000,0.0210610290,64.0451320000,284.9267400000,1088.6922500000,27.5000000000,96.9465305000,177.9787050000,4.0289735000,251.7375800000,56.9988015000,729.1000000000,44.1241190000,425.7419150000,76.3963615000,19.2000000000,1.9299666500,0.8061415925,-0.1512817850,59.1300000000,11.7470230000,6779.4742500000,31.7365390000,129.4620050000,0.0061692556,156.0965962424,403.3568000000
90.0000000000,209.0000000000,54.1571428571,123.3790050000,0.1452244500,76.4626855000,296.0302300000,1316.2521500000,25.9571428571,82.0266455000,218.9598500000,3.9921970000,248.5877550000,54.1956535000,729.1000000000,42.8737535000,540.8388450000,77.4505655000,19.8857142857,1.8710746000,0.9959728975,-0.1445570590,59.1300000000,11.6245070000,6410.9915000000,33.1117030000,131.6289800000,0.0033469796,156.0965962424,405.6138450000
90.2000000000,264.0000000000,54.8000000000,122.3191350000,3.1386340000,89.0848965000,282.1978000000,674.9629950000,24.8000000000,78.3034575000,243.7855650000,3.8737976500,228.4526100000,60.6066485000,729.1000000000,45.5070135000,561.9426900000,68.6410285000,20.4000000000,1.8588878500,1.6401994135,-0.1503666050,59.1300000000,12.0039690000,4640.1938500000,24.2912870000,123.9305900000,0.0039887557,156.0965962424,426.2832050000
89.6000000000,132.0000000000,57.4428571429,122.6701200000,3.1394631000,104.7656730000,273.3318150000,846.6957200000,22.2857142857,77.5155265000,267.3704500000,3.9609148500,206.4777250000,51.6737320000,727.3285714286,46.1871715000,609.0895950000,67.9376115000,20.2714285714,1.8144762000,1.5918377350,-0.1512787850,57.8785714286,12.0464185000,4102.4319500000,25.4957230000,126.1279400000,0.0034204284,156.0965962424,441.8021950000
89.6000000000,221.0000000000,59.5000000000,122.3133450000,3.1398002500,69.6500430000,268.8507450000,1018.7153000000,20.4000000000,77.6320830000,277.4691000000,3.9447243500,211.7658650000,67.3650060000,726.0000000000,46.8620690000,635.4027300000,68.8518535000,20.1000000000,1.9568613500,1.6562661200,-0.1512774450,56.9400000000,12.2725915000,5063.9557500000,25.2616640000,127.6412850000,0.0046201100,156.0965962424,427.8407500000
90.1000000000,126.0000000000,58.5285714286,123.2941250000,3.1377137500,102.7694380000,268.1089550000,1536.4834500000,20.1714285714,76.8501735000,264.8593550000,4.1100702000,195.9407150000,51.8944820000,726.0000000000,47.4615120000,562.4586350000,67.5672730000,21.3000000000,2.0244009000,1.5846355600,-0.1512770800,56.9400000000,11.4408370000,6167.9226500000,23.5818340000,134.0528950000,0.0047261984,156.0965962424,433.3244200000
90.2000000000,199.0000000000,57.8000000000,123.0728850000,3.1383647500,113.9139800000,273.7683300000,1276.1160000000,20.0000000000,77.4559815000,272.6790050000,4.1144043500,200.0766750000,51.2183045000,726.0000000000,48.0389775000,599.7221000000,67.1435985000,22.2000000000,1.8343023000,1.6444836900,-0.1496917600,56.9400000000,12.3164830000,5900.1519000000,25.1014495000,131.0804100000,0.0047729364,156.0965962424,432.7303250000
90.1000000000,144.0000000000,58.6000000000,126.9413100000,3.1335481500,120.4930950000,276.9917550000,521.3735250000,19.3142857143,80.1223260000,265.6308650000,4.0835434500,206.7648800000,56.0528765000,725.7142857143,47.6839345000,536.5463750000,68.0726430000,22.0857142857,1.9786865500,1.6236004665,-0.1512823250,57.5571428571,11.7658760000,6245.0722500000,25.3469520000,126.7363700000,0.0076887140,156.0965962424,421.2555550000
89.8000000000,101.0000000000,59.2000000000,124.0274300000,3.1409822000,101.2108860000,267.5167900000,1026.0147500000,18.8000000000,77.6531765000,279.7655500000,4.0855096500,200.8599400000,68.6209565000,725.5000000000,47.1855375000,612.0609100000,67.9404110000,22.0000000000,1.9751548500,1.6184981130,-0.1512510700,58.0200000000,12.3169090000,4508.4802500000,24.8986870000,129.5685450000,0.0048278352,156.0965962424,427.5547500000
89.6000000000,169.0000000000,60.9142857143,127.3142250000,3.1371182500,111.2423900000,272.5778250000,1233.9155000000,17.3714285714,76.6750380000,264.4877500000,4.0720997500,204.2811900000,56.6270710000,725.5000000000,46.9517090000,519.3166700000,68.1632745000,21.7142857143,1.8667869000,1.5392197840,-0.1512468200,58.0200000000,12.9089145000,8179.8416000000,25.4214410000,134.1016200000,0.0067093799,156.0965962424,429.0158450000
89.4000000000,241.0000000000,62.2000000000,125.6134350000,3.1380919000,81.9686755000,279.0293150000,967.3389750000,16.3000000000,79.6493460000,261.7250950000,4.0385622000,219.0296200000,59.0285750000,725.5000000000,47.6436670000,571.7883700000,68.5610775000,21.5000000000,1.8199013500,1.6297863330,-0.1388084365,58.0200000000,12.9620720000,5775.5096000000,28.6309045000,129.6735950000,0.0082577666,156.0965962424,430.2226200000
88.7000000000,244.0000000000,62.8857142857,125.7648000000,3.1386519000,109.1533100000,274.6749150000,1310.3649000000,16.0714285714,81.0063250000,231.0927100000,3.8516987000,234.9881600000,57.5614405000,727.0428571429,47.5062415000,597.6313750000,70.1663695000,21.0428571429,1.8545073500,1.1396215955,-0.1196234610,58.6485714286,12.7837555000,11262.6005000000,32.1624880000,132.4245650000,0.0073889773,156.0965962424,425.8202500000
89.4000000000,263.0000000000,63.4000000000,127.5326750000,3.1390300500,109.2629005000,271.2210000000,1479.7604000000,15.9000000000,80.7300550000,261.4548400000,3.5471568000,230.5926200000,56.0330340000,728.2000000000,47.1155480000,512.3193600000,69.9922625000,20.7000000000,1.9804358500,1.2182072415,-0.1512808000,59.1200000000,12.8939790000,12700.0740000000,31.8154850000,134.9110050000,0.0070291390,156.0965962424,422.8808950000
89.2000000000,225.0000000000,62.3714285714,126.2282600000,3.1340523000,107.5903550000,280.4242950000,1317.6124000000,16.6428571429,82.6167860000,265.4572800000,3.5431416000,250.6622000000,58.8762400000,728.2000000000,48.9906055000,492.0718300000,71.4238350000,20.9857142857,1.9421251500,1.3109646985,-0.1512843250,59.1200000000,12.6965870000,8711.1007500000,28.8840520000,134.2404100000,0.0094522616,156.0965962424,414.8652600000
89.7000000000,245.0000000000,61.6000000000,125.9749900000,3.1341543500,111.6600000000,269.5131250000,1742.1338000000,17.2000000000,80.5948170000,269.8974350000,3.5223740500,236.7257450000,52.1972585000,728.2000000000,50.7141545000,499.1226900000,69.9837860000,21.2000000000,1.9642938000,1.2699456450,-0.1512803650,59.1200000000,12.6001465000,9693.6498500000,29.2507410000,137.9682200000,0.0082139839,156.0965962424,426.6454150000
