Liu,RON,BaoHeTing,XiTing,FangTing,Xiu,MiDu,JiaoTan,S,JiaoTan_2,S_2,S-ZORB.FT_1003.PV,S-ZORB.FC_1101.PV,S-ZORB.PC_6001.PV,S-ZORB.PT_6002.PV,S-ZORB.PC_1301.PV,S-ZORB.FC_1203.PV,S-ZORB.PT_1501.PV,S-ZORB.FT_5201.PV,S-ZORB.TE_1103.DACA,S-ZORB.FT_9002.DACA,S-ZORB.PC_9002.DACA,S-ZORB.PC_3301.DACA,S-ZORB.TE_1501.DACA,S-ZORB.LT_2901.DACA,S-ZORB.ZT_2533.DACA,S-ZORB.FT_2433.DACA,S-ZORB.TE_2401.DACA,S-ZORB.SIS_TE_2802,S-ZORB.TE_5002.DACA,S-ZORB.TE_5006.DACA,S-ZORB.TE_5003.DACA,S-ZORB.TE_5201.DACA,S-ZORB.TE_5101.DACA,S-ZORB.PDT_2704.DACA,S-ZORB.PDC_2702.DACA,S-ZORB.TE_6001.DACA,S-ZORB.FC_5103.DACA,S-ZORB.PC_2401B.DACA,S-ZORB.FT_3701.DACA,S-ZORB.LC_2601.DACA,S-ZORB.TE_2608.DACA,S-ZORB.TE_2603.DACA,S-ZORB.TE_2003.DACA,S-ZORB.PC_2401B.PIDA.OP,S-ZORB.PC_2401.PIDA.OP,S-ZORB.PC_2401.PIDA.SP,S-ZORB.PDT_3002.DACA,S-ZORB.PT_2901.DACA,S-ZORB.PT_7503B.DACA,S-ZORB.PT_7107B.DACA,S-ZORB.PT_1604.DACA,S-ZORB.TE_1605.DACA,S-ZORB.TE_1604.DACA,S-ZORB.TXE_3201A.DACA,S-ZORB.TE_3112.DACA,S-ZORB.FC_5001.DACA,S-ZORB.TC_3102.DACA,S-ZORB.AT-0001.DACA.PV,S-ZORB.AT-0009.DACA.PV,S-ZORB.AT-0010.DACA.PV,S-ZORB.AT-0013.DACA.PV,S-ZORB.TE_2104.DACA.PV,S-ZORB.PT_2106.DACA.PV,S-ZORB.FT_5102.DACA.PV,S-ZORB.TE_1103.DACA.PV,S-ZORB.TE_1104.DACA.PV,S-ZORB.TE_1102.DACA.PV,S-ZORB.TE_1106.DACA.PV,S-ZORB.TE_1107.DACA.PV,S-ZORB.TE_1101.DACA.PV,S-ZORB.CAL.SPEED.PV,S-ZORB.CAL.LEVEL.PV,S-ZORB.CAL_1.CANGLIANG.PV,S-ZORB.FT_1006.DACA.PV,S-ZORB.FT_5204.DACA.PV,S-ZORB.FT_1503.DACA.PV,S-ZORB.FT_1504.DACA.PV
85.0000000000,90.2000000000,52.0000000000,28.3000000000,19.7000000000,61.3200000000,725.1000000000,1.9900000000,6.1550000000,0.5600000000,4.5450000000,55.4712015000,120.0237650000,-0.1480950000,-0.3176142850,3.1302560000,9.2660978500,1.8286660500,53.6293545000,359.3843450000,469.4456400000,0.3880421500,0.3499880650,22.7425030000,-0.0022983552,96.9559405000,4.0226836500,313.6230000000,278.3012850000,113.6945200000,139.0237750000,72.6856825000,58.9880520000,43.0883645000,44.2613545000,21.3663110000,382.3190250000,8434.9673000000,1.4864539300,55.1738510000,64.0500585000,466.3654400000,334.0568450000,415.8738700000,28.9315748224,45.7576121599,1.0466267638,15.2556095000,517.9774400000,0.0046750098,3.1472577500,0.1846942850,411.5791200000,413.5200500000,364.7811300000,73.8704410000,2629.7533500000,164.2543400000,0.5130894050,0.4495291800,0.5447833800,1.6363066500,425.7433869848,5.6181371591,67.6179860000,366.9968179091,361.2954834242,421.8267450000,156.0965962424,118.6395946803,136.3000223636,2.9776960500,76.3783135000,1.5332641500,5113.0080000000,229.9660050000,2875.6483500000,843.3622600000
117.0000000000,90.2000000000,53.0000000000,28.1222222222,18.8777777778,61.2555555556,723.5222222222,2.0100000000,5.3790000000,0.6200000000,4.0300000000,55.1119030000,119.9899050000,-0.1506934050,-0.3000340600,3.1295490000,9.4415869500,1.9336481000,54.3212975000,359.5748100000,409.3376200000,0.3880018900,0.3498845400,22.8991620000,0.0028550873,96.9432165000,4.1707667500,308.7281950000,282.5534250000,114.1155550000,140.4593500000,70.8606785000,58.2535855000,53.6532700000,44.8050200000,16.5598635000,383.6693400000,13886.3605000000,1.4046818040,29.0808935000,63.8932585000,459.9965300000,330.6669150000,415.8504900000,28.9315748224,45.7576121599,1.0466267638,19.6753860000,518.5612400000,0.0051980714,3.1463553000,0.1778036400,411.6452000000,413.8127200000,364.8102750000,73.9356500000,3123.3103500000,164.6538800000,0.5105492900,0.4722441100,0.5409825300,1.6212126500,425.7433869848,5.6181371591,68.1142795000,366.9968179091,361.2954834242,421.5861100000,156.0965962424,118.6395946803,136.3000223636,2.9717156000,76.9085090000,1.2713119500,5143.6871000000,231.3315300000,2626.2982000000,1294.7391500000
103.0000000000,89.2000000000,55.5000000000,27.6777777778,16.8222222222,61.0944444444,719.5777777778,1.7400000000,7.5600000000,0.8100000000,5.2400000000,50.0476785000,120.0446900000,-0.1186272625,-0.2624640600,3.1315486500,9.1072348000,1.8188346500,54.8241040000,359.2107750000,415.7259500000,0.3893070550,0.3499902950,22.5101250000,41.1296505000,96.9251280000,3.8507071500,296.5262700000,276.0088650000,113.5482050000,140.4433650000,68.8929255000,54.5449980000,56.9478315000,41.9350615000,14.2224980000,386.4141000000,19266.1930000000,1.3283529700,55.7831785000,64.2751875000,391.9791450000,316.0106000000,415.6790950000,28.9315748224,45.7576121599,1.0466267638,14.2535050000,506.3584100000,0.0061781475,3.1471008500,0.1686430750,411.8905800000,413.8612250000,343.3376450000,73.1489195000,3578.0257500000,168.3723500000,0.5189118250,0.4699449300,0.5466936550,1.6288525000,425.7433869848,5.6181371591,67.3413295000,366.9968179091,361.2954834242,421.2547700000,156.0965962424,118.6395946803,136.3000223636,2.9981526500,76.5815155000,1.2910217500,5193.7348000000,242.7466500000,2201.8781000000,1469.9373000000
83.0000000000,86.8000000000,56.5000000000,27.5000000000,16.0000000000,61.0300000000,718.0000000000,2.0600000000,6.3200000000,0.9700000000,5.6500000000,54.0139530000,119.9493800000,-0.1389505450,-0.2870928350,3.1326642000,9.4802444500,1.5964786000,48.8799970000,363.1482050000,382.8427350000,0.3871931950,0.3498301900,22.5690030000,40.3571600000,96.9408605000,4.1169118000,308.3242900000,271.3018950000,113.7858100000,142.5052000000,71.6869150000,53.2732450000,62.4840940000,47.3374325000,25.3674020000,377.1498600000,18514.8260000000,1.3687841890,55.4582450000,66.2728640000,397.7195100000,381.0999350000,417.3117750000,28.9315748224,45.7576121599,1.0466267638,14.0294985000,511.6346500000,0.0053011883,3.1507432000,0.1672031300,411.8785750000,413.6224150000,340.0120050000,72.8802475000,3519.0303500000,192.9104650000,0.5144248400,0.4632508750,0.5455625250,1.6308737000,425.7433869848,5.6181371591,67.9117165000,366.9968179091,361.2954834242,423.4893350000,156.0965962424,118.6395946803,136.3000223636,3.0643969000,76.8844320000,1.8791596500,5167.5338000000,226.2276050000,2830.6402500000,1422.0176500000
121.0000000000,87.8000000000,55.7000000000,27.2000000000,17.1000000000,61.0000000000,715.1000000000,2.0300000000,7.2200000000,0.5500000000,4.3200000000,53.5690025000,120.1429250000,-0.1491968350,-0.3416956850,3.1305142000,9.8266784000,1.8176357000,55.4908510000,362.1265700000,439.1783100000,0.3872837150,0.3499928800,22.8062240000,35.0683905000,96.1921455000,3.5775312500,311.5070450000,272.6404200000,112.3565850000,135.0089600000,70.0443820000,58.6000205000,60.8057690000,41.9024270000,24.8171195000,379.0277200000,14580.9950000000,1.6042929400,53.1395230000,65.5499560000,486.3985050000,376.1026800000,416.3915300000,28.9315748224,45.7576121599,1.0466267638,16.5253080000,545.2242800000,0.0048033516,3.1473635000,0.1723239700,411.9088400000,413.7397650000,384.7027150000,73.7965520000,2871.1648500000,181.8071550000,0.5149993350,0.4710387650,0.5437269100,1.6122570000,425.7433869848,5.6181371591,67.5437265000,366.9968179091,361.2954834242,422.6108600000,156.0965962424,118.6395946803,136.3000223636,3.2574774000,76.4990665000,1.9304344500,5293.4296500000,219.3872150000,2569.8680000000,1471.1011000000
115.0000000000,88.4000000000,56.5571428571,26.2857142857,17.1571428571,61.0114285714,716.3000000000,2.0600000000,7.2800000000,0.5000000000,3.9800000000,66.0832520000,120.1958950000,-0.1512810350,-0.4231394500,3.1320720000,9.7569524000,1.7965463500,69.7317430000,365.1254500000,418.5019600000,0.3873918900,0.3499053050,22.6312215000,34.8918625000,96.2060590000,3.6272138000,310.9433950000,265.6135700000,114.0218200000,134.9621100000,70.3458665000,58.7096810000,60.0345160000,41.8756475000,24.0642220000,369.1287500000,11707.3125000000,1.6353118090,43.7223315000,66.1181380000,483.3941850000,382.0627800000,418.4182350000,28.9315748224,45.7576121599,1.0466267638,19.0910990000,542.7078250000,0.0050993940,3.1504762500,0.1717426650,411.9129500000,413.8655650000,393.3414900000,74.8486935000,2539.6368000000,181.8626500000,0.5182443700,0.4646601600,0.5406116550,1.6274060500,425.7433869848,5.6181371591,69.0287370000,366.9968179091,361.2954834242,426.0639000000,156.0965962424,118.6395946803,136.3000223636,3.1953927000,77.2160080000,1.9205232000,5234.3487500000,221.8455450000,2900.5450500000,1336.2346500000
77.0000000000,87.2000000000,57.2000000000,25.6000000000,17.2000000000,61.0200000000,717.2000000000,1.7400000000,7.5200000000,0.7300000000,4.9300000000,53.4830970000,120.0873850000,-0.1512789000,-0.3625944600,3.1285938000,9.6593730000,1.8652001000,54.5498680000,363.2961900000,385.4993800000,0.3868045150,0.3500132950,22.4275370000,34.3128430000,96.1881035000,3.8220470500,308.9547100000,267.1596550000,113.0383550000,134.9105800000,68.6516320000,57.4396695000,59.2254515000,47.5549000000,25.0965070000,374.9322550000,14668.1855000000,1.5506383750,43.6879355000,66.5396225000,465.4468600000,383.9713350000,417.3069950000,28.9315748224,45.7576121599,1.0466267638,18.6691025000,545.1248650000,0.0047966818,3.1472677500,0.1733942500,411.6720300000,413.6866800000,390.4843350000,75.1491905000,2793.1915000000,185.4089450000,0.5106602800,0.4706494000,0.5380340350,1.6088631500,425.7433869848,5.6181371591,68.0810475000,366.9968179091,361.2954834242,424.5254750000,156.0965962424,118.6395946803,136.3000223636,3.2044489500,77.1899080000,1.9862145000,5378.5580000000,220.1612250000,2843.1957500000,1353.7355000000
108.0000000000,88.0000000000,56.3428571429,23.8285714286,19.8285714286,61.1914285714,719.6000000000,1.7600000000,7.4600000000,0.7500000000,5.1000000000,52.5044255000,119.8424100000,-0.1499588500,-0.3560251100,3.1305934500,9.9279250500,1.8010848000,52.9487545000,362.9238100000,431.7535250000,0.3880007700,0.3499652450,22.7979140000,32.6167875000,96.0639195000,4.0288890000,284.9425700000,254.0415150000,111.8146600000,134.9980200000,69.2648375000,57.0112090000,56.4986625000,43.6509280000,23.0191360000,371.4603150000,10719.4750000000,1.4613980035,25.7032040000,66.2469755000,419.1686150000,384.4024450000,417.8079500000,28.9315748224,45.7576121599,1.0466267638,17.1434070000,540.7069350000,0.0056358130,3.1481581000,0.1669398650,412.1791550000,413.6817950000,411.4435000000,72.5837345000,2632.1026500000,174.4232200000,0.5165940150,0.4600246250,0.5766773250,1.5844979000,425.7433869848,5.6181371591,68.8586795000,366.9968179091,361.2954834242,424.9651600000,156.0965962424,118.6395946803,136.3000223636,3.2623780000,77.2267990000,1.9955437000,4617.9966500000,227.6491500000,2822.0329500000,1412.0014500000
98.1700000000,88.2000000000,55.9142857143,22.9428571429,21.1428571429,61.2771428571,720.8000000000,1.7550000000,7.6738333333,0.8186666667,5.6986666667,53.7498475000,124.9035750000,-0.1393823050,-0.2982964850,3.1301403000,9.4262425500,1.8020790000,55.2228370000,362.5731450000,429.5255650000,0.3879365750,0.3498248050,22.5928205000,31.9509150000,96.0490610000,3.6585664750,296.1439300000,264.0232100000,114.0870000000,135.1425400000,69.0388645000,56.9193515000,59.6409045000,46.3488655000,25.2353505000,380.8035550000,11111.4410000000,1.6125662250,25.7231770000,68.3014400000,368.4347550000,392.2089300000,417.3209200000,28.9315748224,45.7576121599,1.0466267638,17.3077745000,545.7379950000,0.0055393665,3.1469150500,0.1565236650,412.4272000000,414.3613500000,406.7429650000,74.3828300000,2453.7623000000,192.1607850000,0.5174095400,0.4715395500,0.5480655500,1.6237346500,425.7433869848,5.6181371591,69.8787660000,366.9968179091,361.2954834242,423.9284650000,156.0965962424,118.6395946803,136.3000223636,3.4141921000,77.6069820000,2.0101935000,4625.9649500000,234.6000600000,2812.7032500000,1479.8209000000
117.0000000000,88.8000000000,55.7000000000,22.5000000000,21.8000000000,61.3200000000,721.4000000000,1.6400000000,7.1800000000,0.7100000000,4.9600000000,54.7749705000,130.0290100000,-0.1487943500,-0.3364808900,3.1294734000,9.8637145500,1.8099363500,56.5834095000,363.6090550000,447.3226200000,0.3876996550,0.3496723000,22.5157625000,31.7024405000,95.9884620000,4.1845019500,304.4654300000,271.7475600000,115.0744950000,134.8021200000,68.4355230000,57.0430340000,58.6043825000,47.5453130000,25.1810105000,381.8248650000,10659.4535000000,1.4618276700,25.4523875000,68.9160595000,349.3220450000,403.2400200000,417.5141200000,28.9315748224,45.7576121599,1.0466267638,17.0603100000,534.9635400000,0.0052232970,3.1466444500,0.1587105900,411.5795750000,413.4595350000,398.8023300000,77.6903050000,2399.0571000000,217.2124450000,0.5185223900,0.4707978600,0.5493822600,1.6139437500,425.7433869848,5.6181371591,69.2221310000,366.9968179091,361.2954834242,424.6858000000,156.0965962424,118.6395946803,136.3000223636,3.5753975500,78.4669705000,2.0227253000,4754.4619000000,229.2436500000,2856.9529500000,1453.0124000000
