S-ZORB.CAL_1.CANGLIANG.PV,S-ZORB.PC_3301.DACA,S-ZORB.SIS_TE_2802,S-ZORB.PC_9002.DACA,S-ZORB.PT_2106.DACA.PV,S-ZORB.TE_1604.DACA,S-ZORB.PDC_2702.DACA,XiTing,S-ZORB.TE_1107.DACA.PV,S-ZORB.FC_5001.DACA,S-ZORB.PC_2401B.PIDA.OP,S-ZORB.TE_6001.DACA,Liu,S-ZORB.PT_2901.DACA,S-ZORB.LC_2601.DACA,S-ZORB.PT_7503B.DACA,Xiu,S-ZORB.TE_5006.DACA,S-ZORB.TE_2608.DACA,S-ZORB.TE_2104.DACA.PV,S-ZORB.TE_3112.DACA,S-ZORB.FT_1503.DACA.PV,S-ZORB.TE_1102.DACA.PV,S-ZORB.FT_1003.PV,S-ZORB.TE_2603.DACA,S-ZORB.PC_2401.PIDA.OP,S-ZORB.TE_5003.DACA,BaoHeTing,S-ZORB.PDT_2704.DACA,S-ZORB.AT-0010.DACA.PV
1.8791596500,0.3498301900,271.3018950000,0.3871931950,5.6181371591,413.6224150000,25.3674020000,27.5000000000,118.6395946803,3519.0303500000,28.9315748224,377.1498600000,83.0000000000,511.6346500000,66.2728640000,0.0053011883,61.0300000000,142.5052000000,397.7195100000,425.7433869848,72.8802475000,2830.6402500000,423.4893350000,54.0139530000,381.0999350000,45.7576121599,71.6869150000,56.5000000000,47.3374325000,0.5455625250
1.9304344500,0.3499928800,272.6404200000,0.3872837150,5.6181371591,413.7397650000,24.8171195000,27.2000000000,118.6395946803,2871.1648500000,28.9315748224,379.0277200000,121.0000000000,545.2242800000,65.5499560000,0.0048033516,61.0000000000,135.0089600000,486.3985050000,425.7433869848,73.7965520000,2569.8680000000,422.6108600000,53.5690025000,376.1026800000,45.7576121599,70.0443820000,55.7000000000,41.9024270000,0.5437269100
1.9205232000,0.3499053050,265.6135700000,0.3873918900,5.6181371591,413.8655650000,24.0642220000,26.2857142857,118.6395946803,2539.6368000000,28.9315748224,369.1287500000,115.0000000000,542.7078250000,66.1181380000,0.0050993940,61.0114285714,134.9621100000,483.3941850000,425.7433869848,74.8486935000,2900.5450500000,426.0639000000,66.0832520000,382.0627800000,45.7576121599,70.3458665000,56.5571428571,41.8756475000,0.5406116550
1.9862145000,0.3500132950,267.1596550000,0.3868045150,5.6181371591,413.6866800000,25.0965070000,25.6000000000,118.6395946803,2793.1915000000,28.9315748224,374.9322550000,77.0000000000,545.1248650000,66.5396225000,0.0047966818,61.0200000000,134.9105800000,465.4468600000,425.7433869848,75.1491905000,2843.1957500000,424.5254750000,53.4830970000,383.9713350000,45.7576121599,68.6516320000,57.2000000000,47.5549000000,0.5380340350
1.9955437000,0.3499652450,254.0415150000,0.3880007700,5.6181371591,413.6817950000,23.0191360000,23.8285714286,118.6395946803,2632.1026500000,28.9315748224,371.4603150000,108.0000000000,540.7069350000,66.2469755000,0.0056358130,61.1914285714,134.9980200000,419.1686150000,425.7433869848,72.5837345000,2822.0329500000,424.9651600000,52.5044255000,384.4024450000,45.7576121599,69.2648375000,56.3428571429,43.6509280000,0.5766773250
2.0101935000,0.3498248050,264.0232100000,0.3879365750,5.6181371591,414.3613500000,25.2353505000,22.9428571429,118.6395946803,2453.7623000000,28.9315748224,380.8035550000,98.1700000000,545.7379950000,68.3014400000,0.0055393665,61.2771428571,135.1425400000,368.4347550000,425.7433869848,74.3828300000,2812.7032500000,423.9284650000,53.7498475000,392.2089300000,45.7576121599,69.0388645000,55.9142857143,46.3488655000,0.5480655500
2.0227253000,0.3496723000,271.7475600000,0.3876996550,5.6181371591,413.4595350000,25.1810105000,22.5000000000,118.6395946803,2399.0571000000,28.9315748224,381.8248650000,117.0000000000,534.9635400000,68.9160595000,0.0052232970,61.3200000000,134.8021200000,349.3220450000,425.7433869848,77.6903050000,2856.9529500000,424.6858000000,54.7749705000,403.2400200000,45.7576121599,68.4355230000,55.7000000000,47.5453130000,0.5493822600
2.1702654500,0.3495723100,266.3888850000,0.3865334650,5.6181371591,413.6086000000,27.9483130000,23.1428571429,118.6395946803,2534.3664000000,28.9315748224,386.2219600000,111.0000000000,547.6396450000,69.1770525000,0.0065505930,62.0985714286,135.0544950000,278.9311850000,425.7433869848,76.7438600000,2808.8480500000,424.6516150000,52.4227695000,391.6425150000,45.7576121599,67.7044570000,56.4142857143,38.6370880000,0.5396842150
2.1035891500,0.3488326450,270.0274750000,0.3871202800,5.6181371591,413.6588850000,27.0231750000,23.4000000000,118.6395946803,2594.7601000000,28.9315748224,392.4696450000,57.0000000000,556.0315400000,65.2124640000,0.0055616291,62.4100000000,135.4973650000,284.2370800000,425.7433869848,72.4371650000,2496.7499500000,421.6490900000,50.7193115000,362.5762100000,45.7576121599,68.5897315000,56.7000000000,45.2486960000,0.5659039350
2.1553752000,0.3501099600,276.5918800000,0.3861577800,5.6181371591,413.4654400000,29.7264685000,21.5142857143,118.6395946803,1988.7275500000,28.9315748224,378.4422200000,148.0000000000,544.8535400000,69.8996985000,0.0057033191,62.4100000000,135.7040350000,297.9395150000,425.7433869848,78.1093995000,2748.3929500000,426.1309850000,51.2702330000,415.2863150000,45.7576121599,65.3454995000,56.5857142857,46.9052130000,0.5367358000
2.1412032000,0.3500865600,259.1926200000,0.3872416150,5.6181371591,413.6159450000,29.0965340000,20.1000000000,118.6395946803,2409.9704000000,28.9315748224,377.0760450000,131.0000000000,541.4953000000,69.0772575000,0.0053516408,62.4100000000,136.1095300000,282.8031250000,425.7433869848,75.7263080000,2957.7671500000,427.4197800000,36.7304305000,413.6325200000,45.7576121599,65.9433900000,56.5000000000,43.8133390000,0.5333610250
2.1207872500,0.3500910250,263.3089200000,0.3876380550,5.6181371591,414.2679050000,29.3779825000,22.5571428571,118.6395946803,2476.1815000000,28.9315748224,370.8578500000,222.0000000000,545.1055900000,69.6397660000,0.0040733378,63.6557142857,135.8915200000,296.8965450000,425.7433869848,75.6955715000,3151.7555500000,427.9828500000,34.7780510000,415.7223550000,45.7576121599,65.3199085000,55.1285714286,35.7504685000,0.5492893900
2.1690353000,0.3503314600,269.0781450000,0.3860064100,5.6181371591,414.1283100000,29.7789485000,24.4000000000,118.6395946803,2257.9256500000,28.9315748224,376.8188150000,125.0000000000,548.3759150000,69.8596970000,0.0042217085,64.5900000000,136.0500600000,285.2101850000,425.7433869848,76.5737900000,3140.2451500000,427.4849700000,34.7657280000,419.9000900000,45.7576121599,65.4881005000,54.1000000000,42.1698340000,0.5279465750
2.1858640500,0.3501988200,263.4127000000,0.3871150850,5.6181371591,414.2654700000,28.8395840000,21.0857142857,118.6395946803,2289.4012500000,28.9315748224,383.4088450000,156.0000000000,545.1554650000,70.1283685000,0.0039375623,64.5900000000,136.2524400000,290.2016450000,425.7433869848,74.6609005000,2720.4634000000,425.6707450000,35.8711655000,417.7093500000,45.7576121599,66.7780080000,55.1857142857,39.7177275000,0.5418172300
2.0992623500,0.3498244350,273.5302250000,0.3868399500,5.6181371591,414.2372100000,27.3100405000,18.6000000000,118.6395946803,2459.5918500000,28.9315748224,381.8393200000,170.0000000000,550.8155850000,70.0037595000,0.0069920449,64.5900000000,136.2175050000,290.2341250000,425.7433869848,79.0480010000,2598.6278000000,426.3037800000,34.4935805000,420.6657050000,45.7576121599,65.0786925000,56.0000000000,44.1357800000,0.5344553800
2.0743199500,0.3502574400,269.9832100000,0.3875089400,5.6181371591,414.2972900000,27.6395730000,19.5142857143,118.6395946803,2011.8329000000,28.9315748224,380.4603650000,206.0000000000,544.8299950000,71.6127235000,0.0035687902,65.2147619048,136.2378150000,289.2393300000,425.7433869848,77.9024440000,2611.9746000000,426.0159400000,36.2442430000,427.3007800000,45.7576121599,66.8178390000,55.8095238095,43.3352290000,0.5320631000
2.1875291500,0.3498388900,270.0747800000,0.3874271300,5.6181371591,414.1965000000,29.3761940000,20.2000000000,118.6395946803,2130.5576000000,28.9315748224,382.5575100000,185.0000000000,548.9803100000,71.2472625000,0.0033299099,65.6833333333,136.0883950000,295.0266550000,425.7433869848,79.7542120000,2954.6974000000,426.3998950000,38.2515610000,429.7379650000,45.7576121599,65.0500595000,55.6666666667,41.6019655000,0.5419463600
2.1518944500,0.3501262750,278.3241750000,0.3874625600,5.6181371591,414.1990550000,27.7950280000,21.1142857143,118.6395946803,1278.6384650000,28.9315748224,387.7443000000,172.0000000000,549.9035250000,71.3649715000,0.0055549274,66.3080952381,136.1208550000,281.7869600000,425.7433869848,79.4374560000,2584.7085000000,424.5731900000,36.8093550000,434.2715100000,45.7576121599,64.0455465000,55.4761904762,46.5911795000,0.5308949750
2.1048564500,0.3501518700,267.5198300000,0.3880449150,5.6181371591,415.4438200000,26.5846745000,21.8000000000,118.6395946803,2306.8034500000,28.9315748224,384.6848200000,133.0000000000,547.7813250000,71.4981850000,0.0046356916,66.7766666667,135.9848650000,296.8587250000,425.7433869848,78.3914500000,2876.5822500000,426.9511550000,34.9142130000,425.0601700000,45.7576121599,65.5143585000,55.3333333333,38.4278750000,0.5407967600
2.0182445000,0.3501554000,273.3119600000,0.3857496350,5.6181371591,415.0472600000,24.7886590000,22.7142857143,118.6395946803,2282.5253000000,28.9315748224,384.4675500000,189.0000000000,551.1412500000,71.5678975000,0.0055542082,67.4014285714,135.8811250000,289.6242000000,425.7433869848,79.8575100000,2749.1733000000,427.0279450000,38.3277860000,431.3877550000,45.7576121599,64.6197325000,55.1428571429,47.0066050000,0.5321001350
2.0165105000,0.3501739650,275.2442000000,0.3859158750,5.6181371591,415.0993350000,24.5395700000,23.4000000000,118.6395946803,2168.1350000000,28.9315748224,384.9825650000,144.0000000000,543.1085800000,72.2102440000,0.0046416313,67.8700000000,135.9846400000,278.7236950000,425.7433869848,80.2304450000,2614.7552000000,426.9160150000,40.6080580000,429.5054100000,45.7576121599,64.2404410000,55.0000000000,41.9343735000,0.5507169800
1.9827594500,0.3498283350,272.0558650000,0.3878063350,5.6181371591,415.2240250000,23.3981415000,24.0285714286,118.6395946803,2415.5578500000,28.9315748224,383.7643800000,210.0000000000,549.2609000000,71.6582690000,0.0065513303,66.6185714286,135.8429200000,280.6125950000,425.7433869848,79.6201750000,2841.6162500000,427.3318900000,48.1670265000,429.0500100000,45.7576121599,64.0801855000,54.5142857143,45.0465100000,0.5356604850
2.0540831000,0.3500663450,266.3522650000,0.3869995150,5.6181371591,415.3701700000,25.6249725000,24.5000000000,118.6395946803,2100.6899500000,28.9315748224,385.2452600000,137.0000000000,549.9151900000,73.1135265000,0.0058479966,65.6800000000,136.2319250000,268.0628300000,425.7433869848,78.3615555000,2697.0333500000,427.5525000000,49.8600620000,430.0952100000,45.7576121599,66.4995155000,54.1500000000,43.4824670000,0.5399812800
2.0428159500,0.3502750700,281.7902900000,0.3869857600,5.6181371591,414.9403450000,25.4449045000,25.1285714286,118.6395946803,1895.2840500000,28.9315748224,385.0848400000,168.0000000000,549.5433750000,73.8173500000,0.0057871621,64.4285714286,136.1184700000,269.0071150000,425.7433869848,81.3163385000,2643.2424500000,426.4985800000,49.2975195000,434.9570050000,45.7576121599,67.2052560000,53.6642857143,40.8117140000,0.5541848150
2.2234662500,0.3500303650,287.4893150000,0.3887706900,5.6181371591,414.7916300000,28.4271950000,25.6000000000,118.6395946803,1839.5867000000,28.9315748224,364.2813550000,154.0000000000,533.8209550000,71.5828630000,0.0059785694,63.4900000000,135.6460700000,256.8901700000,425.7433869848,79.1129685000,2644.9609500000,426.6939450000,50.5869335000,429.7410900000,45.7576121599,67.4764045000,53.3000000000,44.1369790000,0.5323599600
2.0805810000,0.3499659800,272.2435800000,0.3878905750,5.6181371591,414.6699300000,24.7371180000,26.0000000000,118.6395946803,1184.5850500000,28.9315748224,371.2473100000,230.0000000000,548.5424400000,72.7417790000,0.0030791511,63.4900000000,133.0415950000,295.2030150000,425.7433869848,80.3746025000,3157.8222000000,430.4383450000,49.6283745000,430.9458600000,45.7576121599,53.8059730000,53.6000000000,45.8635915000,0.5434669100
1.9885180000,0.3501322100,273.7500050000,0.3873358500,5.6181371591,414.2982900000,20.2025050000,27.1428571429,118.6395946803,1063.2977200000,28.9315748224,381.7481750000,236.0000000000,544.6486150000,72.0389760000,0.0039212336,61.7728571429,131.9633800000,302.4445550000,425.7433869848,80.0462670000,2674.8878000000,427.8423250000,48.8226250000,434.1260850000,45.7576121599,59.9227085000,51.3142857143,44.9628690000,0.5378114700
2.0645608500,0.3501613450,264.8992650000,0.3873746350,5.6181371591,414.3101950000,23.5702965000,28.0000000000,118.6395946803,1790.2396500000,28.9315748224,378.6181250000,236.0000000000,555.1576750000,72.4978670000,0.0066945423,60.4850000000,139.8053550000,273.1899350000,425.7433869848,79.8653420000,2952.2555000000,429.0974000000,47.8385540000,429.6189050000,45.7576121599,66.3065890000,49.6000000000,45.9618450000,0.5450988300
1.9605604500,0.3503322100,280.2701350000,0.3873161900,5.6181371591,413.3946750000,23.2179105000,29.1428571429,118.6395946803,1664.6204500000,28.9315748224,384.0979250000,204.0000000000,549.0860450000,70.3718350000,0.0050986360,58.7678571429,134.3146850000,285.8361550000,425.7433869848,81.7776210000,2199.2080000000,425.6698400000,47.0190900000,429.5611200000,45.7576121599,65.5531545000,50.3428571429,35.2054670000,0.5371623550
2.2650182500,0.3500062350,265.9310150000,0.3877176500,5.6181371591,413.5841300000,27.8181920000,30.0000000000,118.6395946803,1510.5941000000,28.9315748224,345.3454450000,172.0000000000,541.8925450000,79.5182905000,0.0027133841,57.4800000000,133.7920300000,398.4829800000,425.7433869848,101.7467000000,3138.2778000000,432.7423450000,48.6038545000,482.8984050000,45.7576121599,50.5997535000,50.9000000000,46.1681705000,0.5385906800
2.0662626500,0.3502858350,273.1288250000,0.3877714600,5.6181371591,415.6337050000,24.5718835000,29.0857142857,118.6395946803,1321.2013000000,28.9315748224,382.4546800000,179.0000000000,544.7064750000,71.1763790000,0.0036066433,58.4228571429,130.4575350000,423.6667350000,425.7433869848,79.1296000000,2290.2696500000,427.8495500000,48.7292370000,426.6706050000,45.7576121599,71.7319765000,52.3285714286,38.9528990000,0.5388497150
2.1271027500,0.3503169950,284.5116000000,0.3875634950,5.6181371591,415.4080100000,27.7504035000,28.4000000000,118.6395946803,1650.1163000000,28.9315748224,391.3776850000,275.0000000000,547.1402050000,69.2874355000,0.0039516628,59.1300000000,134.3464000000,169.1212150000,425.7433869848,77.8033620000,2487.2403500000,425.7705200000,46.5671545000,410.2042650000,45.7576121599,72.2493460000,53.4000000000,43.7179760000,0.5444129850
2.1746525000,0.3497333350,285.5479250000,0.3901760200,5.6181371591,415.3956700000,29.8660705000,27.8857142857,118.6395946803,1707.5983500000,28.9315748224,394.9364050000,216.0000000000,555.0751550000,67.8479615000,0.0041156262,59.1300000000,134.2555800000,174.9063000000,425.7433869848,77.4112610000,2277.3509500000,424.7710150000,42.5324860000,413.0294850000,45.7576121599,69.9042660000,53.3428571429,48.2566850000,0.5328050700
2.3263580500,0.3498976900,284.9267400000,0.3876985550,5.6181371591,414.4240900000,31.7365390000,27.5000000000,118.6395946803,1088.6922500000,28.9315748224,361.8948950000,286.0000000000,551.4242550000,76.3963615000,0.0061692556,59.1300000000,129.4620050000,177.9787050000,425.7433869848,96.9465305000,2601.8198500000,429.7029650000,44.1241190000,473.7140500000,45.7576121599,69.4725670000,53.3000000000,36.6981945000,0.5521635450
2.3908362000,0.3505194000,296.0302300000,0.3871462600,5.6181371591,415.6015650000,33.1117030000,25.9571428571,118.6395946803,1316.2521500000,28.9315748224,383.2419450000,209.0000000000,545.3044050000,77.4505655000,0.0033469796,59.1300000000,131.6289800000,218.9598500000,425.7433869848,82.0266455000,1694.8355500000,422.7036600000,42.8737535000,460.6119550000,45.7576121599,72.7074890000,54.1571428571,45.5661105000,0.5516442200
1.9515499500,0.3499856500,282.1978000000,0.3878286100,5.6181371591,415.7501800000,24.2912870000,24.8000000000,118.6395946803,674.9629950000,28.9315748224,397.0192050000,264.0000000000,553.9553700000,68.6410285000,0.0039887557,59.1300000000,123.9305900000,243.7855650000,425.7433869848,78.3034575000,2102.7543500000,421.9998850000,45.5070135000,418.4789900000,45.7576121599,71.6019835000,54.8000000000,40.7398855000,0.5410935800
2.0358210500,0.3502043750,273.3318150000,0.3868594400,5.6181371591,415.7044600000,25.4957230000,22.2857142857,118.6395946803,846.6957200000,28.9315748224,394.9108950000,132.0000000000,550.4769600000,67.9376115000,0.0034204284,57.8785714286,126.1279400000,267.3704500000,425.7433869848,77.5155265000,1986.4896500000,422.2624150000,46.1871715000,409.3202450000,45.7576121599,72.5865480000,57.4428571429,37.3238790000,0.5391651750
2.0358917000,0.3499361150,268.8507450000,0.3889647400,5.6181371591,416.6974900000,25.2616640000,20.4000000000,118.6395946803,1018.7153000000,28.9315748224,394.3830050000,221.0000000000,558.1707800000,68.8518535000,0.0046201100,56.9400000000,127.6412850000,277.4691000000,425.7433869848,77.6320830000,2605.5165500000,423.7624800000,46.8620690000,422.0757650000,45.7576121599,73.0079355000,59.5000000000,44.6656340000,0.5201585450
2.0895847500,0.3501565200,268.1089550000,0.3876041350,5.6181371591,416.8544650000,23.5818340000,20.1714285714,118.6395946803,1536.4834500000,28.9315748224,392.0167650000,126.0000000000,544.9117800000,67.5672730000,0.0047261984,56.9400000000,134.0528950000,264.8593550000,425.7433869848,76.8501735000,2388.5547500000,424.7027000000,47.4615120000,407.1367700000,45.7576121599,72.7192065000,58.5285714286,46.5971000000,0.5291336550
2.0710116500,0.3498700750,273.7683300000,0.3794721050,5.6181371591,415.4863200000,25.1014495000,20.0000000000,118.6395946803,1276.1160000000,28.9315748224,392.7729500000,199.0000000000,550.7579250000,67.1435985000,0.0047729364,56.9400000000,131.0804100000,272.6790050000,425.7433869848,77.4559815000,1780.2891500000,424.0871200000,48.0389775000,409.4710050000,45.7576121599,74.9537710000,57.8000000000,45.6220990000,0.5525902500
2.1012867500,0.3500897250,276.9917550000,0.3811694550,5.6181371591,415.6137950000,25.3469520000,19.3142857143,118.6395946803,521.3735250000,28.9315748224,391.1748900000,144.0000000000,540.1583450000,68.0726430000,0.0076887140,57.5571428571,126.7363700000,265.6308650000,425.7433869848,80.1223260000,2869.1974500000,423.6247350000,47.6839345000,406.9760050000,45.7576121599,74.3589975000,58.6000000000,42.8144065000,0.5382565900
2.0677670500,0.3498086450,267.5167900000,0.3800752350,5.6181371591,415.5597150000,24.8986870000,18.8000000000,118.6395946803,1026.0147500000,28.9315748224,388.9961250000,101.0000000000,547.6548650000,67.9404110000,0.0048278352,58.0200000000,129.5685450000,279.7655500000,425.7433869848,77.6531765000,2283.8380500000,425.0255600000,47.1855375000,411.7614600000,45.7576121599,75.7202580000,59.2000000000,45.6075520000,0.5475652050
2.0855373500,0.3500490850,272.5778250000,0.3799381300,5.6181371591,415.7619750000,25.4214410000,17.3714285714,118.6395946803,1233.9155000000,28.9315748224,391.5435550000,169.0000000000,542.7621450000,68.1632745000,0.0067093799,58.0200000000,134.1016200000,264.4877500000,425.7433869848,76.6750380000,2524.6363000000,423.8535950000,46.9517090000,409.5753950000,45.7576121599,70.6208340000,60.9142857143,45.0151445000,0.5440787300
2.0524968500,0.3498516950,279.0293150000,0.3802334900,5.6181371591,415.8692000000,28.6309045000,16.3000000000,118.6395946803,967.3389750000,28.9315748224,397.5197350000,241.0000000000,553.1163550000,68.5610775000,0.0082577666,58.0200000000,129.6735950000,261.7250950000,425.7433869848,79.6493460000,1901.6491500000,421.9342100000,47.6436670000,416.6193850000,45.7576121599,70.9176820000,62.2000000000,45.9386465000,0.5482325450
2.2760551000,0.3497344400,274.6749150000,0.3798498100,5.6181371591,415.4810800000,32.1624880000,16.0714285714,118.6395946803,1310.3649000000,28.9315748224,372.2342250000,244.0000000000,542.7554750000,70.1663695000,0.0073889773,58.6485714286,132.4245650000,231.0927100000,425.7433869848,81.0063250000,2230.5852500000,424.3772800000,47.5062415000,424.1584800000,45.7576121599,67.2564380000,62.8857142857,42.6270575000,0.5450618050
2.2520822500,0.3504117900,271.2210000000,0.3798262500,5.6181371591,415.5229200000,31.8154850000,15.9000000000,118.6395946803,1479.7604000000,28.9315748224,349.6814250000,263.0000000000,549.1804250000,69.9922625000,0.0070291390,59.1200000000,134.9110050000,261.4548400000,425.7433869848,80.7300550000,2014.6304000000,425.3650050000,47.1155480000,424.7908500000,45.7576121599,75.6763090000,63.4000000000,44.1988000000,0.5484550600
2.2196339500,0.3499388950,280.4242950000,0.3800750450,5.6181371591,415.7353950000,28.8840520000,16.6428571429,118.6395946803,1317.6124000000,28.9315748224,349.7921500000,225.0000000000,551.6826000000,71.4238350000,0.0094522616,59.1200000000,134.2404100000,265.4572800000,425.7433869848,82.6167860000,1636.4655500000,425.4735850000,48.9906055000,436.6289950000,45.7576121599,75.0289870000,62.3714285714,48.6767605000,0.5345664500
2.2347587500,0.3498698950,269.5131250000,0.3798900850,5.6181371591,415.7957900000,29.2507410000,17.2000000000,118.6395946803,1742.1338000000,28.9315748224,355.0151850000,245.0000000000,548.4792250000,69.9837860000,0.0082139839,59.1200000000,137.9682200000,269.8974350000,425.7433869848,80.5948170000,1852.7869500000,424.8933950000,50.7141545000,426.9787450000,45.7576121599,76.3425880000,61.6000000000,46.6749085000,0.5555570700
